id,listingId,slug,streetAddress,soldAt,soldAtLabel,askingPrice,finalPrice,livingArea,locationDescription,fee,squareMeterPrice,housingForm,rooms,landArea,priceChange,brokerAgencyName,brokerAgencyThumbnail,brokerThumbnail,brokerName,labels,product,recordType,latitude,longitude
5235036133774783157,21392009,lagenhet-3rum-sallyhill-sidsjo-sundsvalls-kommun-sveavagen-31-5235036133774783157,Sveavägen 31,1726854300.0,Såld 20 sep. 2024,1495000.0,1450000,73.0,"Sallyhill/Sidsjö, Sundsvalls kommun",5644,19863,"{""symbol"":""APARTMENT""}",3 rum,,-3.0,Notar,https://bilder.hemnet.se/images/broker_logo_1/20/cc/20cc4b76ca46cc2250eb9f2561a63e8c.png,,,FEATURE:Balkong,NONE,COMMON,62.38727,17.28338
3891509952619531786,21390277,lagenhet-2rum-centralt-sundsvalls-kommun-storgatan-68b-3891509952619531786,Storgatan 68B,1726005599.0,Såld 10 sep. 2024,1450000.0,1400000,54.5,"Centralt, Sundsvalls kommun",3485,25688,"{""symbol"":""APARTMENT""}",2 rum,,-3.0,Mäklarhuset Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/68/41/684184dc02af90e4f9d2ac612122b24f.png,,,,NONE,COMMON,62.3928325,17.2894683
7937948211502930632,20712038,lagenhet-5rum-norra-kajen-sundsvalls-kommun-fregattgatan-6-7937948211502930632,Fregattgatan 6,1725861600.0,Såld 9 sep. 2024,5950000.0,5650000,173.0,"Norra Kajen, Sundsvalls kommun",7545,32659,"{""symbol"":""APARTMENT""}",5 rum,,-5.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong;FEATURE:Uteplats;FEATURE:Hiss,NONE,COMMON,62.3933144,17.322546
6577365675585682091,21395162,lagenhet-3rum-sundsvall-sundsvalls-kommun-storgatan-52a-6577365675585682091,Storgatan 52A,1725445800.0,Såld 4 sep. 2024,2295000.0,2500000,75.0,"Sundsvall, Sundsvalls kommun",4324,33333,"{""symbol"":""APARTMENT""}",3 rum,,9.0,Notar,https://bilder.hemnet.se/images/broker_logo_1/20/cc/20cc4b76ca46cc2250eb9f2561a63e8c.png,,,FEATURE:Balkong;FEATURE:Hiss,NONE,COMMON,62.39236,17.2949352
7333455550978294066,21383157,lagenhet-2rum-centralt-sundsvalls-kommun-akersviksgatan-7c-7333455550978294066,Åkersviksgatan 7C,1725350400.0,Såld 3 sep. 2024,1200000.0,1300000,56.5,"Centralt, Sundsvalls kommun",4150,23009,"{""symbol"":""APARTMENT""}",2 rum,,8.0,Notar,https://bilder.hemnet.se/images/broker_logo_1/20/cc/20cc4b76ca46cc2250eb9f2561a63e8c.png,,,FEATURE:Balkong,NONE,COMMON,62.39183,17.2928734
1867211888541167006,21086515,lagenhet-2rum-sundsvall-centrum-sundsvalls-kommun-dalgatan-9c-1867211888541167006,Dalgatan 9C,1725141600.0,Såld 1 sep. 2024,795000.0,750000,54.5,"Sundsvall centrum, Sundsvalls kommun",4405,13761,"{""symbol"":""APARTMENT""}",2 rum,,-6.0,Länsförsäkringar Fastighetsförmedling Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,,,FEATURE:Balkong,NONE,COMMON,62.3910942,17.2881355
6558417335425097691,21316768,lagenhet-2rum-sundsvall-sundsvalls-kommun-storgatan-46b-6558417335425097691,Storgatan 46B,1724761800.0,Såld 27 aug. 2024,1595000.0,1550000,68.0,"Sundsvall, Sundsvalls kommun",3287,22794,"{""symbol"":""APARTMENT""}",2 rum,,-3.0,Notar,https://bilder.hemnet.se/images/broker_logo_1/20/cc/20cc4b76ca46cc2250eb9f2561a63e8c.png,,,FEATURE:Balkong,NONE,COMMON,62.3924255,17.297451
846350119546123460,21365978,"lagenhet-2,5rum-centralt-sundsvalls-kommun-storgatan-54a-846350119546123460",Storgatan 54A,1724407200.0,Såld 23 aug. 2024,1350000.0,1300000,60.0,"Centralt, Sundsvalls kommun",3537,21667,"{""symbol"":""APARTMENT""}","2,5 rum",,-4.0,Bjurfors Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/a7/97/a797d617963cb956b85e8a6bb4fb6079.png,,,FEATURE:Hiss,NONE,COMMON,62.3924561,17.29378
5706829036841235370,21365626,"lagenhet-1,5rum-centralt-sundsvalls-kommun-storgatan-52b-5706829036841235370",Storgatan 52B,1724337000.0,Såld 22 aug. 2024,1195000.0,1200000,49.0,"Centralt, Sundsvalls kommun",2956,24490,"{""symbol"":""APARTMENT""}","1,5 rum",,0.0,Bjurfors Sundsvall,https://bilder.hemnet.se/images/broker_logo_2/a7/97/a797d617963cb956b85e8a6bb4fb6079.png,,,FEATURE:Hiss,NONE,COMMON,62.39254,17.295
8244431918542197239,21381673,lagenhet-2rum-centrum-sundsvalls-kommun-storgatan-68b-8244431918542197239,Storgatan 68B,1724257800.0,Såld 21 aug. 2024,1200000.0,1200000,56.0,"Centrum, Sundsvalls kommun",3515,21429,"{""symbol"":""APARTMENT""}",2 rum,,0.0,Fastighetsbyrån Sundsvall,https://bilder.hemnet.se/images/broker_logo_2_2x/3d/53/3d53972640f121199879bf779e590c7d.jpg,,,,NONE,COMMON,62.392819635,17.2894240269
